intent,text
greeting,слушай ку пожалуйста
greeting,ну ку
greeting,слушай здарова!
greeting,привет
greeting,ку сейчас
greeting,слушай добрый день!
greeting,слушай здравствуйте!
greeting,приветик пожалуйста
greeting,подскажи hello сейчас
greeting,слушай салют сейчас
greeting,подскажи приветик :)
greeting,ну здарова пожалуйста
greeting,подскажи добрый день :)
greeting,ну ку сейчас
greeting,ну здравствуйте пожалуйста
greeting,подскажи йо сейчас
greeting,эй йо
greeting,эй добрый день!
greeting,ну здравствуйте сейчас
greeting,ну здравствуйте?
greeting,подскажи добрый день?
greeting,слушай приветик пожалуйста
greeting,подскажи салют!
greeting,эй здарова
greeting,добрый день пожалуйста
greeting,слушай йо сейчас
greeting,эй йо
greeting,ку сейчас
greeting,салют :)
greeting,подскажи добрый день
greeting,слушай добрый день?
greeting,эй ку сейчас
greeting,хай сейчас
greeting,привет!
greeting,эй хай сейчас
greeting,слушай здравствуйте?
greeting,подскажи hello!
greeting,слушай ку!
greeting,эй приветик :)
greeting,подскажи здарова сейчас
greeting,йо :)
greeting,ну йо пожалуйста
greeting,подскажи приветик пожалуйста
greeting,хай пожалуйста
greeting,ну здарова пожалуйста
greeting,слушай здарова
greeting,эй хай :)
greeting,эй привет?
greeting,ну йо пожалуйста
greeting,слушай здарова сейчас
greeting,хай :)
greeting,ну приветик
greeting,ну здарова :)
greeting,эй ку?
greeting,подскажи здравствуйте
greeting,слушай салют!
greeting,слушай здарова!
greeting,здарова пожалуйста
greeting,слушай хай
greeting,ну здравствуйте!
greeting,эй йо :)
greeting,хай?
greeting,слушай хай!
farewell,эй бай сейчас
farewell,ну пока :)
farewell,эй адьос
farewell,адьос пожалуйста
farewell,слушай прощай сейчас
farewell,слушай адьос :)
farewell,эй бай
farewell,ну адьос?
farewell,эй бай пожалуйста
farewell,подскажи до свидания
farewell,эй увидимся!
farewell,ну увидимся сейчас
farewell,эй пока
farewell,эй увидимся :)
farewell,ну увидимся сейчас
farewell,подскажи прощай?
farewell,слушай до свидания :)
farewell,ну bye сейчас
farewell,адьос пожалуйста
farewell,эй бай пожалуйста
farewell,ну до скорого пожалуйста
farewell,пока :)
farewell,ну прощай!
farewell,ну счастливо :)
farewell,слушай счастливо пожалуйста
farewell,до скорого?
farewell,счастливо пожалуйста
farewell,слушай увидимся
farewell,ну прощай?
farewell,увидимся?
farewell,ну увидимся :)
farewell,ну прощай!
farewell,эй до скорого сейчас
farewell,эй счастливо
farewell,слушай адьос :)
farewell,эй увидимся сейчас
farewell,ну до скорого
farewell,эй пока :)
farewell,ну bye пожалуйста
farewell,слушай счастливо пожалуйста
farewell,эй до свидания
farewell,ну адьос?
farewell,увидимся пожалуйста
farewell,эй до встречи сейчас
farewell,подскажи счастливо пожалуйста
farewell,счастливо?
farewell,подскажи до свидания сейчас
farewell,подскажи бай?
farewell,слушай пока
farewell,подскажи до скорого сейчас
farewell,подскажи пока?
farewell,до свидания :)
farewell,слушай бай
farewell,эй бай сейчас
farewell,подскажи bye пожалуйста
farewell,подскажи адьос!
farewell,ну пока?
farewell,ну счастливо?
farewell,подскажи адьос!
farewell,ну до свидания!
farewell,слушай счастливо?
farewell,подскажи прощай?
farewell,подскажи бай?
farewell,эй до встречи
farewell,эй прощай
farewell,ну до встречи!
farewell,bye пожалуйста
farewell,подскажи адьос?
farewell,эй прощай!
farewell,ну bye сейчас
farewell,ну до встречи пожалуйста
farewell,до свидания!
farewell,ну счастливо?
farewell,эй до свидания
farewell,подскажи счастливо
farewell,эй до скорого сейчас
farewell,прощай?
farewell,ну счастливо!
farewell,эй бай!
farewell,подскажи увидимся?
farewell,ну до встречи пожалуйста
farewell,увидимся :)
farewell,до скорого сейчас
farewell,адьос
farewell,эй бай :)
farewell,слушай bye пожалуйста
farewell,слушай бай пожалуйста
farewell,слушай до встречи сейчас
farewell,увидимся
farewell,слушай бай пожалуйста
farewell,подскажи bye?
farewell,слушай бай?
farewell,слушай пока!
farewell,подскажи до скорого :)
farewell,ну прощай
farewell,ну до встречи сейчас
farewell,пока
farewell,подскажи до скорого сейчас
farewell,счастливо?
farewell,ну увидимся пожалуйста
farewell,ну адьос пожалуйста
farewell,увидимся сейчас
farewell,bye?
farewell,бай
farewell,подскажи увидимся
farewell,эй адьос?
farewell,bye сейчас
farewell,подскажи до скорого
farewell,прощай?
farewell,слушай адьос пожалуйста
farewell,слушай адьос :)
farewell,бай :)
farewell,подскажи bye
farewell,подскажи до скорого сейчас
farewell,подскажи счастливо!
farewell,слушай до свидания!
farewell,подскажи бай пожалуйста
farewell,подскажи до скорого сейчас
farewell,эй счастливо сейчас
farewell,слушай до встречи :)
farewell,слушай счастливо!
farewell,эй адьос пожалуйста
farewell,слушай до свидания?
farewell,слушай бай
farewell,ну до свидания
farewell,адьос пожалуйста
farewell,эй счастливо :)
farewell,ну бай пожалуйста
farewell,до скорого пожалуйста
farewell,эй до скорого?
farewell,слушай бай
farewell,эй прощай?
farewell,ну до свидания?
farewell,ну пока пожалуйста
farewell,эй счастливо пожалуйста
farewell,до встречи?
farewell,прощай!
farewell,ну bye пожалуйста
farewell,ну до скорого
farewell,ну прощай пожалуйста
farewell,до встречи
farewell,до скорого!
farewell,бай пожалуйста
farewell,bye?
farewell,эй прощай :)
farewell,пока
farewell,пока?
farewell,слушай увидимся сейчас
farewell,слушай увидимся
farewell,эй до скорого пожалуйста
farewell,слушай увидимся?
farewell,бай
farewell,эй адьос
farewell,эй бай :)
farewell,ну бай сейчас
farewell,подскажи до свидания сейчас
farewell,слушай счастливо?
farewell,до свидания :)
farewell,подскажи прощай!
farewell,счастливо пожалуйста
farewell,ну пока сейчас
farewell,слушай до свидания
farewell,эй увидимся
farewell,пока?
farewell,ну счастливо пожалуйста
farewell,ну бай сейчас
farewell,ну бай?
farewell,эй адьос :)
farewell,эй пока :)
farewell,слушай до скорого :)
farewell,слушай счастливо
farewell,до свидания сейчас
farewell,подскажи пока :)
farewell,адьос?
farewell,эй пока
farewell,ну счастливо!
farewell,эй счастливо пожалуйста
farewell,бай пожалуйста
farewell,подскажи увидимся пожалуйста
farewell,bye!
farewell,слушай до скорого
farewell,ну до встречи
farewell,эй счастливо пожалуйста
farewell,эй до скорого пожалуйста
farewell,подскажи бай?
farewell,подскажи увидимся
farewell,ну до свидания!
farewell,увидимся?
farewell,подскажи до скорого пожалуйста
farewell,ну до свидания пожалуйста
farewell,ну до скорого!
farewell,бай?
farewell,слушай пока сейчас
farewell,адьос!
farewell,ну до свидания сейчас
farewell,слушай прощай?
farewell,подскажи до скорого!
farewell,эй адьос сейчас
farewell,подскажи до скорого пожалуйста
farewell,ну до встречи :)
time,эй что по времени?
time,эй сколько сейчас пожалуйста
time,слушай время сейчас
time,эй сколько сейчас?
time,ну который час пожалуйста
time,сколько сейчас пожалуйста
time,слушай сколько сейчас пожалуйста
time,подскажи подскажи время!
time,ну что по времени?
time,слушай который час пожалуйста
time,слушай время сейчас!
time,ну сколько времени сейчас
time,ну подскажи время :)
time,сколько времени!
time,подскажи время пожалуйста
time,подскажи который час пожалуйста
time,ну сколько сейчас
time,слушай сколько времени пожалуйста
time,подскажи что по времени пожалуйста
time,ну сколько времени сейчас
time,слушай сколько сейчас сейчас
time,подскажи время?
time,ну время сейчас
time,эй сколько времени пожалуйста
time,эй сколько времени?
time,ну подскажи время :)
time,эй сколько времени сейчас
time,подскажи сколько сейчас пожалуйста
time,слушай который час :)
time,подскажи подскажи время!
time,сколько сейчас :)
time,подскажи сколько времени
time,ну который час?
time,ну сколько сейчас сейчас
time,ну что по времени
time,подскажи сколько сейчас?
time,слушай сколько сейчас?
time,слушай сколько времени :)
time,ну время сейчас :)
time,подскажи время сейчас
time,подскажи подскажи время!
time,ну сколько времени!
time,слушай сколько времени пожалуйста
time,ну что по времени!
time,сколько времени :)
time,ну время сейчас пожалуйста
time,слушай время сейчас
time,ну подскажи время пожалуйста
time,эй сколько времени
time,подскажи что по времени
time,эй сколько сейчас пожалуйста
time,слушай сколько времени?
time,сколько времени пожалуйста
time,сколько времени!
time,подскажи что по времени
time,подскажи что по времени!
time,подскажи сколько времени пожалуйста
time,эй сколько сейчас :)
time,подскажи сколько сейчас
time,слушай подскажи время :)
time,подскажи который час
time,подскажи время сейчас
time,эй который час?
time,подскажи время сейчас :)
time,слушай который час :)
time,эй время сейчас сейчас
time,ну подскажи время
time,ну время сейчас
time,слушай время сейчас!
time,эй сколько сейчас?
time,время сейчас?
time,слушай время сейчас :)
time,слушай что по времени
time,подскажи что по времени пожалуйста
time,сколько времени сейчас
time,подскажи подскажи время сейчас
time,что по времени?
time,подскажи сколько времени пожалуйста
time,эй который час
time,сколько времени сейчас
time,ну сколько сейчас :)
time,который час
time,эй сколько времени сейчас
time,подскажи сколько сейчас!
time,эй что по времени!
time,ну сколько времени сейчас
time,подскажи что по времени!
time,ну что по времени :)
time,подскажи что по времени пожалуйста
time,подскажи сколько времени :)
time,ну время сейчас сейчас
time,что по времени?
time,подскажи сколько времени
time,подскажи время сейчас!
time,ну что по времени пожалуйста
time,эй сколько времени
time,время сейчас?
time,слушай сколько времени :)
time,подскажи который час!
time,ну время сейчас пожалуйста
time,сколько времени :)
time,ну подскажи время сейчас
time,подскажи что по времени сейчас
time,эй который час
time,эй сколько времени :)
time,эй подскажи время
time,эй время сейчас сейчас
time,ну время сейчас сейчас
time,подскажи время сейчас сейчас
time,ну сколько времени :)
time,подскажи сколько времени сейчас
time,слушай время сейчас
time,подскажи время сейчас
time,ну подскажи время?
time,слушай который час сейчас
time,подскажи время сейчас :)
time,подскажи сколько сейчас пожалуйста
time,подскажи время!
time,ну который час
time,что по времени
time,ну который час :)
time,ну подскажи время пожалуйста
time,подскажи сколько сейчас?
time,слушай подскажи время :)
time,эй что по времени
time,который час?
time,подскажи время сейчас пожалуйста
time,подскажи время
time,ну подскажи время пожалуйста
time,эй подскажи время :)
time,ну который час :)
time,слушай который час?
time,ну подскажи время
time,эй который час :)
time,эй который час!
time,ну сколько времени!
time,сколько сейчас сейчас
time,слушай что по времени
time,эй что по времени!
time,подскажи время сейчас :)
time,подскажи который час пожалуйста
time,подскажи подскажи время сейчас
time,подскажи который час!
time,эй сколько времени пожалуйста
time,ну время сейчас пожалуйста
time,подскажи который час
time,ну сколько сейчас пожалуйста
time,который час!
time,подскажи сколько времени пожалуйста
time,что по времени пожалуйста
time,слушай сколько сейчас!
time,ну подскажи время пожалуйста
time,который час?
time,ну который час?
time,эй подскажи время :)
time,сколько сейчас пожалуйста
time,эй сколько времени
time,ну который час?
time,эй что по времени!
time,эй сколько сейчас
time,время сейчас :)
time,подскажи время сейчас сейчас
time,подскажи время сейчас?
time,слушай подскажи время пожалуйста
time,сколько времени!
time,эй время сейчас пожалуйста
time,сколько времени :)
time,что по времени!
time,сколько сейчас?
time,слушай время сейчас пожалуйста
time,ну который час сейчас
time,подскажи время сейчас
time,подскажи подскажи время?
time,что по времени?
time,слушай время сейчас!
time,эй который час :)
time,ну сколько времени :)
time,который час :)
time,подскажи что по времени сейчас
time,подскажи время
time,подскажи который час?
time,подскажи время!
time,эй который час
time,слушай сколько времени
time,ну сколько сейчас
time,сколько времени?
time,эй что по времени сейчас
time,ну что по времени?
time,подскажи сколько времени пожалуйста
time,эй сколько времени сейчас
time,слушай что по времени :)
time,ну сколько сейчас!
time,эй сколько времени :)
time,ну время сейчас :)
time,эй сколько времени!
time,эй сколько времени!
time,ну что по времени
time,подскажи сколько времени!
time,подскажи подскажи время?
time,ну сколько времени пожалуйста
date,ну сегодняшняя дата :)
date,слушай какая сегодня дата?
date,слушай сегодняшняя дата :)
date,назови дату сейчас
date,эй какая сегодня дата!
date,подскажи какая сегодня дата!
date,подскажи назови дату!
date,ну сегодняшняя дата пожалуйста
date,сегодняшняя дата
date,ну какое сегодня число пожалуйста
date,подскажи назови дату :)
date,какое сегодня число сейчас
date,ну какая сегодня дата!
date,какая сегодня дата пожалуйста
date,ну сегодняшняя дата :)
date,слушай какая сегодня дата
date,эй какая сегодня дата?
date,подскажи назови дату :)
date,ну какое сегодня число пожалуйста
date,ну какое сегодня число сейчас
date,эй какое сегодня число пожалуйста
date,назови дату пожалуйста
date,дата сегодня сейчас
date,ну сегодняшняя дата?
date,эй какая сегодня дата!
date,ну назови дату
date,подскажи назови дату
date,эй сегодняшняя дата пожалуйста
date,ну дата сегодня
date,ну какая сегодня дата
date,ну какая сегодня дата пожалуйста
date,подскажи какое сегодня число
date,сегодняшняя дата :)
date,ну сегодняшняя дата :)
date,ну какое сегодня число
date,какое сегодня число
date,слушай какая сегодня дата?
date,подскажи дата сегодня?
date,подскажи назови дату?
date,эй какое сегодня число
date,какое сегодня число
date,назови дату
date,сегодняшняя дата!
date,слушай дата сегодня сейчас
date,дата сегодня
date,ну сегодняшняя дата?
date,слушай назови дату?
date,ну какая сегодня дата сейчас
date,слушай сегодняшняя дата
date,назови дату?
date,слушай дата сегодня?
date,слушай дата сегодня сейчас
date,ну какое сегодня число
date,слушай какая сегодня дата пожалуйста
date,подскажи какая сегодня дата :)
date,какое сегодня число сейчас
date,ну какое сегодня число сейчас
date,эй какое сегодня число!
date,ну какая сегодня дата пожалуйста
date,ну дата сегодня
date,подскажи какая сегодня дата!
date,сегодняшняя дата сейчас
date,слушай дата сегодня!
date,слушай какая сегодня дата :)
date,ну дата сегодня сейчас
date,дата сегодня
date,эй дата сегодня?
date,эй назови дату
date,какая сегодня дата :)
date,какая сегодня дата!
date,подскажи какое сегодня число пожалуйста
date,сегодняшняя дата сейчас
date,дата сегодня?
date,подскажи какое сегодня число пожалуйста
date,эй назови дату!
date,ну какое сегодня число :)
date,подскажи какое сегодня число пожалуйста
date,эй назови дату!
date,подскажи дата сегодня пожалуйста
date,назови дату?
date,подскажи какое сегодня число пожалуйста
date,ну назови дату :)
date,назови дату :)
date,подскажи сегодняшняя дата пожалуйста
date,ну сегодняшняя дата!
date,эй сегодняшняя дата?
date,подскажи сегодняшняя дата пожалуйста
date,подскажи какая сегодня дата?
date,подскажи назови дату пожалуйста
date,ну какое сегодня число?
date,эй какое сегодня число пожалуйста
date,подскажи какое сегодня число!
date,ну какая сегодня дата!
date,ну какая сегодня дата пожалуйста
date,слушай какая сегодня дата
date,ну сегодняшняя дата!
date,подскажи назови дату пожалуйста
date,ну какая сегодня дата!
date,ну какое сегодня число
date,слушай какая сегодня дата!
date,эй какая сегодня дата сейчас
date,эй какое сегодня число :)
date,слушай сегодняшняя дата сейчас
date,ну сегодняшняя дата
date,подскажи какое сегодня число!
date,ну сегодняшняя дата
date,слушай дата сегодня?
date,эй сегодняшняя дата
date,ну сегодняшняя дата сейчас
date,слушай какое сегодня число сейчас
date,слушай назови дату!
date,дата сегодня сейчас
date,подскажи назови дату :)
date,эй дата сегодня пожалуйста
date,слушай дата сегодня пожалуйста
date,подскажи какая сегодня дата?
date,эй сегодняшняя дата!
date,эй назови дату :)
date,ну сегодняшняя дата сейчас
date,ну дата сегодня сейчас
date,дата сегодня пожалуйста
date,подскажи дата сегодня :)
date,какое сегодня число сейчас
date,слушай какое сегодня число :)
date,подскажи дата сегодня
date,подскажи какая сегодня дата?
date,ну какая сегодня дата :)
date,подскажи какая сегодня дата?
date,подскажи дата сегодня пожалуйста
date,эй какая сегодня дата :)
date,эй какое сегодня число
date,подскажи назови дату
date,назови дату
date,дата сегодня!
date,какая сегодня дата пожалуйста
date,слушай дата сегодня!
date,эй дата сегодня сейчас
date,слушай какая сегодня дата сейчас
date,подскажи назови дату?
date,ну сегодняшняя дата!
date,эй какая сегодня дата!
date,подскажи дата сегодня
date,какое сегодня число сейчас
date,назови дату!
date,ну какое сегодня число сейчас
date,назови дату?
date,дата сегодня!
date,какая сегодня дата
date,эй сегодняшняя дата?
date,ну сегодняшняя дата сейчас
date,дата сегодня?
date,слушай дата сегодня
date,эй какое сегодня число пожалуйста
date,слушай сегодняшняя дата!
date,ну назови дату?
date,эй назови дату пожалуйста
date,эй сегодняшняя дата?
date,дата сегодня
date,ну назови дату
date,слушай сегодняшняя дата!
date,эй сегодняшняя дата пожалуйста
date,дата сегодня?
date,подскажи какая сегодня дата?
date,дата сегодня?
date,ну какое сегодня число сейчас
date,сегодняшняя дата?
date,подскажи назови дату!
date,слушай какая сегодня дата пожалуйста
date,подскажи сегодняшняя дата :)
date,эй какое сегодня число сейчас
date,эй какое сегодня число?
date,ну дата сегодня :)
date,подскажи дата сегодня!
date,подскажи дата сегодня
date,эй дата сегодня пожалуйста
date,ну дата сегодня?
date,слушай дата сегодня :)
date,слушай какое сегодня число пожалуйста
date,ну назови дату :)
date,ну сегодняшняя дата сейчас
date,слушай назови дату пожалуйста
date,слушай какая сегодня дата!
date,ну сегодняшняя дата?
date,эй сегодняшняя дата
date,ну какая сегодня дата сейчас
date,эй назови дату пожалуйста
date,дата сегодня!
date,подскажи сегодняшняя дата :)
date,подскажи дата сегодня
date,слушай назови дату
date,слушай какая сегодня дата пожалуйста
date,ну дата сегодня
date,какое сегодня число!
date,ну сегодняшняя дата!
date,какая сегодня дата
date,дата сегодня :)
date,слушай какая сегодня дата
date,ну сегодняшняя дата :)
date,эй сегодняшняя дата :)
date,ну сегодняшняя дата?
day,слушай день недели
day,эй какой сегодня день пожалуйста
day,эй какой день недели
day,слушай день недели сейчас
day,подскажи что за день пожалуйста
day,эй какой день недели?
day,день недели :)
day,эй день недели
day,подскажи какой день недели!
day,какой день недели пожалуйста
day,подскажи день недели
day,эй что за день :)
day,ну какой день недели пожалуйста
day,какой день недели!
day,что за день
day,эй какой день недели!
day,какой сегодня день сейчас
day,подскажи что за день :)
day,ну какой сегодня день сейчас
day,слушай какой сегодня день :)
day,эй что за день пожалуйста
day,эй какой сегодня день сейчас
day,слушай какой день недели сейчас
day,ну какой сегодня день!
day,ну какой сегодня день!
day,подскажи день недели
day,ну какой день недели?
day,подскажи какой сегодня день :)
day,слушай день недели
day,подскажи какой сегодня день сейчас
day,ну какой день недели?
day,ну какой день недели?
day,день недели :)
day,эй какой день недели?
day,слушай какой день недели :)
day,слушай что за день пожалуйста
day,подскажи какой день недели
day,слушай какой день недели
day,ну какой день недели?
day,какой сегодня день пожалуйста
day,подскажи что за день :)
day,ну день недели
day,ну какой сегодня день?
day,эй день недели!
day,эй день недели
day,эй что за день :)
day,эй день недели сейчас
day,слушай день недели :)
day,слушай день недели :)
day,слушай что за день!
day,ну что за день :)
day,какой сегодня день!
day,какой сегодня день :)
day,подскажи день недели :)
day,подскажи какой сегодня день пожалуйста
day,слушай какой день недели сейчас
day,слушай что за день
day,подскажи день недели :)
day,слушай какой день недели?
day,ну какой сегодня день!
day,что за день пожалуйста
day,ну какой день недели сейчас
day,ну день недели :)
day,эй какой сегодня день!
day,эй день недели!
day,слушай какой день недели?
day,эй какой сегодня день сейчас
day,подскажи день недели сейчас
day,ну день недели пожалуйста
day,день недели сейчас
day,слушай что за день сейчас
day,слушай какой сегодня день пожалуйста
day,эй день недели!
day,слушай какой сегодня день?
day,подскажи какой день недели сейчас
day,день недели!
day,слушай день недели пожалуйста
day,какой день недели?
day,какой сегодня день!
day,эй день недели пожалуйста
day,подскажи какой сегодня день!
day,какой сегодня день сейчас
day,подскажи какой день недели сейчас
day,слушай какой сегодня день сейчас
day,эй день недели сейчас
day,ну что за день пожалуйста
day,эй день недели :)
day,ну что за день пожалуйста
day,эй что за день :)
day,слушай день недели
day,какой сегодня день :)
day,слушай день недели?
day,подскажи день недели :)
day,подскажи день недели пожалуйста
day,слушай что за день :)
day,ну какой день недели сейчас
day,подскажи какой день недели
day,слушай какой день недели пожалуйста
day,ну день недели сейчас
day,подскажи какой день недели!
day,слушай что за день
day,подскажи день недели сейчас
day,подскажи какой сегодня день!
day,эй что за день сейчас
day,подскажи какой сегодня день пожалуйста
day,эй какой сегодня день
day,эй какой сегодня день пожалуйста
day,ну какой день недели сейчас
day,эй какой сегодня день?
day,слушай какой день недели!
day,какой сегодня день
day,слушай что за день?
day,подскажи день недели :)
day,подскажи какой день недели
day,ну день недели!
day,ну какой сегодня день пожалуйста
day,эй что за день?
day,ну какой сегодня день сейчас
day,ну какой сегодня день :)
day,ну какой сегодня день сейчас
day,что за день
day,ну что за день
day,слушай день недели!
day,слушай день недели пожалуйста
day,какой сегодня день :)
day,ну что за день сейчас
day,ну день недели
day,ну какой день недели сейчас
day,подскажи какой сегодня день
day,слушай что за день
day,эй какой день недели
day,слушай день недели?
day,подскажи что за день?
day,слушай день недели
day,слушай что за день пожалуйста
day,подскажи что за день сейчас
day,подскажи какой сегодня день сейчас
day,слушай какой сегодня день?
day,слушай день недели!
day,подскажи день недели сейчас
day,эй что за день :)
day,ну что за день!
day,какой сегодня день :)
day,ну день недели пожалуйста
day,эй какой день недели!
day,эй что за день
day,слушай день недели пожалуйста
day,подскажи что за день?
day,слушай какой день недели?
day,эй день недели сейчас
day,слушай что за день?
day,слушай что за день
day,ну какой день недели!
day,подскажи что за день :)
day,подскажи какой сегодня день!
day,какой день недели пожалуйста
day,эй какой день недели?
day,ну какой день недели!
day,эй день недели?
day,ну день недели
day,слушай что за день сейчас
day,ну день недели пожалуйста
day,ну что за день :)
day,какой день недели пожалуйста
day,какой сегодня день?
day,ну какой день недели!
day,слушай какой сегодня день сейчас
day,слушай день недели сейчас
day,ну какой сегодня день?
day,ну какой сегодня день?
day,какой день недели сейчас
day,какой день недели :)
day,слушай что за день!
day,эй что за день пожалуйста
day,эй день недели пожалуйста
day,эй день недели?
day,подскажи день недели?
day,день недели сейчас
day,подскажи день недели :)
day,ну какой сегодня день
day,какой сегодня день!
day,эй день недели?
day,какой день недели сейчас
day,слушай что за день!
day,подскажи день недели!
day,ну день недели
day,ну что за день :)
day,эй какой сегодня день?
day,эй день недели
day,эй что за день сейчас
day,день недели пожалуйста
day,эй день недели сейчас
day,эй какой день недели
day,какой сегодня день?
day,эй какой сегодня день сейчас
day,ну что за день!
day,слушай что за день :)
day,слушай день недели сейчас
day,слушай день недели пожалуйста
day,ну какой сегодня день пожалуйста
month,ну месяц сейчас
month,какой сейчас месяц
month,месяц сейчас пожалуйста
month,текущий месяц сейчас
month,слушай текущий месяц :)
month,слушай текущий месяц?
month,подскажи назови месяц
month,эй месяц сейчас сейчас
month,какой сейчас месяц?
month,ну месяц сейчас сейчас
month,ну какой сейчас месяц
month,месяц сейчас сейчас
month,эй назови месяц :)
month,текущий месяц :)
month,слушай какой сейчас месяц :)
month,какой сейчас месяц пожалуйста
month,подскажи какой сейчас месяц!
month,месяц сейчас :)
month,эй назови месяц сейчас
month,ну назови месяц!
month,ну назови месяц!
month,назови месяц!
month,ну месяц сейчас пожалуйста
month,подскажи какой сейчас месяц!
month,слушай какой сейчас месяц!
month,слушай какой сейчас месяц пожалуйста
month,подскажи какой сейчас месяц
month,подскажи назови месяц сейчас
month,подскажи какой сейчас месяц!
month,слушай назови месяц сейчас
month,какой сейчас месяц!
month,текущий месяц сейчас
month,ну текущий месяц?
month,подскажи месяц сейчас :)
month,эй текущий месяц пожалуйста
month,эй назови месяц сейчас
month,слушай текущий месяц сейчас
month,слушай текущий месяц
month,подскажи какой сейчас месяц :)
month,подскажи месяц сейчас :)
month,слушай текущий месяц пожалуйста
month,эй текущий месяц :)
month,слушай назови месяц?
month,эй месяц сейчас
month,слушай месяц сейчас :)
month,ну текущий месяц :)
month,эй текущий месяц сейчас
month,эй текущий месяц пожалуйста
month,эй какой сейчас месяц :)
month,ну текущий месяц?
month,месяц сейчас :)
month,эй назови месяц!
month,ну назови месяц :)
month,текущий месяц!
month,подскажи какой сейчас месяц?
month,эй назови месяц?
month,слушай назови месяц
month,ну какой сейчас месяц сейчас
month,подскажи какой сейчас месяц!
month,эй назови месяц пожалуйста
month,подскажи текущий месяц
month,ну месяц сейчас
month,эй назови месяц
month,какой сейчас месяц сейчас
month,слушай назови месяц сейчас
month,слушай текущий месяц сейчас
month,эй какой сейчас месяц?
month,ну назови месяц
month,слушай месяц сейчас!
month,эй какой сейчас месяц
month,слушай какой сейчас месяц?
month,ну месяц сейчас
month,ну какой сейчас месяц пожалуйста
month,ну текущий месяц пожалуйста
month,слушай текущий месяц сейчас
month,подскажи назови месяц сейчас
month,слушай назови месяц?
month,подскажи месяц сейчас?
month,ну месяц сейчас!
month,подскажи месяц сейчас пожалуйста
month,месяц сейчас?
month,слушай назови месяц пожалуйста
month,слушай текущий месяц?
month,слушай какой сейчас месяц пожалуйста
month,ну назови месяц пожалуйста
